,Planktic,Tychoplanktic,Benthic
CJ-001-F,157,31,145
CJ-003-F,354,32,49
CJ-020-F,149,144,102
CJ-023-F,193,77,45
CJ-032-F,237,122,39
CJ-039-F,35,14,44
CJ-043-F,185,18,109
CJ-051-F,382,37,49
CJ-097-F,53,27,248
CJ-121-F,59,106,156
CJ-001-J,224,34,155
CJ-003-J,315,52,59
CJ-020-J,167,139,313
CJ-023-J,256,21,48
CJ-032-J,163,136,79
CJ-039-J,40,13,69
CJ-043-J,164,56,114
CJ-051-J,235,35,60
CJ-097-J,68,32,235
CJ-121-J,38,117,173
CJ-001-A,207,47,173
CJ-003-S,386,73,83
CJ-020-S,130,201,151
CJ-023-S,65,108,168
CJ-032-S,204,248,87
CJ-039-S,203,34,92
CJ-043-S,131,61,141
CJ-051-S,206,45,86
CJ-097-S,45,34,261
CJ-121-S,38,174,158
CJ-001-D,232,32,112
CJ-003-D,579,27,22
CJ-020-D,168,35,279
CJ-023-D,215,54,90
CJ-032-D,159,74,89
CJ-039-D,164,39,111
CJ-043-D,225,35,70
CJ-051-D,202,30,73
CJ-097-D,85,24,196
CJ-121-D,69,148,143
